symbol	locus_name	acc_number	swiss-prot	sgd	sequence_length	3d	chromosome
RPS30A	YLR287C-A	P0CX33	RS30A_YEAST	S000004278	63	(3)	12
RPS30B	YOR182C	P0CX34	RS30B_YEAST	S000005708	63	15	
RPS31;RPS37;UBI3	YLR167W	P05759	RS27A_YEAST	S000004157	152	(3)	12
RPS3;SUF14	YNL178W	P05750	RS3_YEAST	S000005122	240	(3)	14
RPS4A;RPS7B	YJR145C	P0CX35	RS4A_YEAST	S000003906	261	(3)	10
RPS4B;RPS7A	YHR203C	P0CX36	RS4B_YEAST	S000001246	261	8	
RPS5;RPS2	YJR123W	P26783	RS5_YEAST	S000003884	225	(3)	10
RPS6A;RPS101;RPS10B	YPL090C	P0CX37	RS6A_YEAST	S000006011	236	(3)	16
RPS6B;RPS102;RPS10A	YBR181C	P0CX38	RS6B_YEAST	S000000385	236	2	
RPS7A;RPS30	YOR096W	P26786	RS7A_YEAST	S000005622	190	(3)	15
RPS7B	YNL096C	P48164	RS7B_YEAST	S000005040	190	14	
RPS8A;RPS14A	YBL072C	P0CX39	RS8A_YEAST	S000000168	200	(3)	2
RPS8B;RPS14B	YER102W	P0CX40	RS8B_YEAST	S000000904	200	5	
RPS9A;RPS13A;YS11A	YPL081W	O13516	RS9A_YEAST	S000006002	197	(3)	16
RPS9B;RPS13B;SUP46	YBR189W	P05755	RS9B_YEAST	S000000393	195	2	
RPT1;CIM5;YTA3	YKL145W	P33299	PRS7_YEAST	S000001628	467	(3)	11
RPT2;YHS4;YTA5	YDL007W	P40327	PRS4_YEAST	S000002165	437	(3)	4
RPT3;YNT1;YTA2	YDR394W	P33298	PRS6B_YEAST	S000002802	428	(3)	4
RPT4;CRL13;PCS1;SUG2	YOR259C	P53549	PRS10_YEAST	S000005785	437	(3)	15
RPT5;YTA1	YOR117W	P33297	PRS6A_YEAST	S000005643	434	(3)	15
RPT6;CIM3;CRL3;SUG1;TBPY;TBY1	YGL048C	Q01939	PRS8_YEAST	S000003016	405	(3)	7
RQC1	YDR333C	Q05468	RQC1_YEAST	S000002741	723	4	
RQC2;TAE2	YPL009C	Q12532	RQC2_YEAST	S000005930	1038	16	
RRB1	YMR131C	Q04225	RRB1_YEAST	S000004738	511	13	
RRD1;NCS1;YPA1	YIL153W	P40454	PTPA1_YEAST	S000001415	393	(3)	9
RRD2;NOH1;YPA2	YPL152W	Q12461	PTPA2_YEAST	S000006073	358	(3)	16
RRF1;FIL1;KIM4	YHR038W	P38771	RRF1_YEAST	S000001080	230	8	
RRG1	YDR065W	Q12167	RRG1_YEAST	S000002472	365	4	
RRG7	YOR305W	Q08774	RRG7_YEAST	S000005832	242	15	
RRG8	YPR116W	Q06109	RRG8_YEAST	S000006320	277	16	
RRG9	YNL213C	P40156	RRG9_YEAST	S000005157	214	14	
RRI1;CSN5;JAB1	YDL216C	Q12468	CSN5_YEAST	S000002375	440	4	
RRI2;CSN10	YOL117W	Q12348	CSN10_YEAST	S000005477	645	15	
RRM3;RTT104	YHR031C	P38766	RRM3_YEAST	S000001073	723	8	
RRN10	YBL025W	P38204	RRN10_YEAST	S000000121	145	2	
RRN11	YML043C	Q04712	RRN11_YEAST	S000004507	507	13	
RRN3	YKL125W	P36070	RRN3_YEAST	S000001608	627	(3)	11
RRN5	YLR141W	Q02983	RRN5_YEAST	S000004131	363	12	
RRN6	YBL014C	P32786	RRN6_YEAST	S000000110	894	2	
RRN7	YJL025W	P40992	RRN7_YEAST	S000003562	514	10	
RRN9	YMR270C	P53437	RRN9_YEAST	S000004883	365	13	
RRP1	YDR087C	P35178	RRP1_YEAST	S000002494	278	4	
RRP12	YPL012W	Q12754	RRP12_YEAST	S000005933	1228	16	
RRP14	YKL082C	P36080	RRP14_YEAST	S000001565	434	11	
RRP15	YPR143W	Q06511	RRP15_YEAST	S000006347	250	16	
RRP17	YDR412W	Q04031	RRP17_YEAST	S000002820	235	4	
RRP3	YHR065C	P38712	RRP3_YEAST	S000001107	501	8	
RRP36	YOR287C	Q12481	RRP36_YEAST	S000005813	300	15	
RRP4	YHR069C	P38792	RRP4_YEAST	S000001111	359	(3)	8
RRP40	YOL142W	Q08285	RRP40_YEAST	S000005502	240	(3)	15
RRP42	YDL111C	Q12277	RRP42_YEAST	S000002269	265	(3)	4
RRP43	YCR035C	P25359	RRP43_YEAST	S000000631	394	(3)	3
RRP45	YDR280W	Q05636	RRP45_YEAST	S000002688	305	(3)	4
RRP46	YGR095C	P53256	RRP46_YEAST	S000003327	223	(3)	7
RRP5;FMI1	YMR229C	Q05022	RRP5_YEAST	S000004842	1729	(3)	13
RRP6;UNC733	YOR001W	Q12149	RRP6_YEAST	S000005527	733	(3)	15
RRP7	YCL031C	P25368	RRP7_YEAST	S000000536	297	(3)	3
RRP8	YDR083W	P38961	RRP8_YEAST	S000002490	392	4	
RRP9	YPR137W	Q06506	RRP9_YEAST	S000006341	573	(3)	16
RRS1	YOR294W	Q08746	RRS1_YEAST	S000005820	203	(3)	15
RRT1	YBL048W	P38192	RRT1_YEAST	S000000144	103	2	
RRT12;OSW3	YCR045C	P25381	RRT12_YEAST	S000000641	491	3	
RRT13	YER066W	P40042	RRT13_YEAST	S000000868	185	5	
RRT14	YIL127C	P40470	RRT14_YEAST	S000001389	206	9	
RRT15	YLR162W-A	Q3E811	RRT15_YEAST	S000028567	62	12	
RRT16	YNL105W	P50943	RRT16_YEAST	S000005049	142	14	
RRT2;DPH7;ERE1	YBR246W	P38332	DPH7_YEAST	S000000450	387	2	
RRT5	YFR032C	P43607	RRT5_YEAST	S000001928	289	6	
RRT6	YGL146C	P53117	RRT6_YEAST	S000003114	311	7	
RRT7	YLL030C	Q07829	RRT7_YEAST	S000003953	113	12	
RRT8	YOL048C	Q08219	RRT8_YEAST	S000005408	342	15	
RSA1	YPL193W	Q08932	RSA1_YEAST	S000006114	381	(3)	16
RSA3	YLR221C	Q05942	RSA3_YEAST	S000004211	220	12	
RSA4	YCR072C	P25382	NLE1_YEAST	S000000668	515	(3)	3
RSB1	YOR049C	Q08417	RSB1_YEAST	S000005575	382	15	
RSC1	YGR056W	P53236	RSC1_YEAST	S000003288	928	7	
RSC2	YLR357W	Q06488	RSC2_YEAST	S000004349	889	(3)	12
RSC3	YDR303C	Q06639	RSC3_YEAST	S000002711	885	4	
RSC30	YHR056C	P38781	RSC30_YEAST	S000001098	883	8	
RSC4	YKR008W	Q02206	RSC4_YEAST	S000001716	625	(3)	11
RSC58	YLR033W	Q07979	RSC58_YEAST	S000004023	502	12	
RSC6	YCR052W	P25632	RSC6_YEAST	S000000648	483	3	
RSC8;SWH3	YFR037C	P43609	RSC8_YEAST	S000001933	557	6	
RSC9	YML127W	Q03124	RSC9_YEAST	S000004596	581	13	
RSE1;SAP130	YML049C	Q04693	RSE1_YEAST	S000004513	1361	(3)	13
RSF1	YMR030W	Q05043	RSF1_YEAST	S000004632	376	13	
RSF2;ZMS1	YJR127C	P46974	RSF2_YEAST	S000003888	1380	10	
RSM10	YDR041W	Q03201	RT10_YEAST	S000002448	203	4	
RSM18	YER050C	P40033	RSM18_YEAST	S000000852	138	5	
RSM19	YNR037C	P53733	RT19_YEAST	S000005320	91	14	
RSM22	YKL155C	P36056	RT22_YEAST	S000001638	628	11	
RSM23	YGL129C	Q01163	RT23_YEAST	S000003097	450	7	
RSM24	YDR175C	Q03976	RT24_YEAST	S000002582	319	4	
RSM25	YIL093C	P40496	RT25_YEAST	S000001355	264	9	
RSM26	YJR101W	P47141	RT26_YEAST	S000003862	266	10	
RSM27	YGR215W	P53305	RT27_YEAST	S000003447	110	7	
RSM28	YDR494W	Q03430	RSM28_YEAST	S000002902	361	4	
RSM7	YJR113C	P47150	RT07_YEAST	S000003874	247	10	
RSN1	YMR266W	Q03516	RSN1_YEAST	S000004879	953	13	
RSP5;MDP1;NPI1	YER125W	P39940	RSP5_YEAST	S000000927	809	(3)	5
RSR1;BUD1	YGR152C	P13856	RSR1_YEAST	S000003384	272	7	
RTA1	YGR213C	P53047	RTA1_YEAST	S000003445	317	7	
RTC1;SEA2	YOL138C	Q08281	RTC1_YEAST	S000005498	1341	15	
RTC2;YPQ3	YBR147W	P38279	YPQ3_YEAST	S000000351	296	2	
RTC3	YHR087W	P38804	SDO1L_YEAST	S000001129	111	(3)	8
RTC4	YNL254C	P53850	RTC4_YEAST	S000005198	401	14	
RTC5	YOR118W	Q12108	RTC5_YEAST	S000005644	567	15	
RTC6;TAE4	YPL183W-A	O14464	RTC6_YEAST	S000007224	93	(3)	16
RTF1;CSL3	YGL244W	P53064	RTF1_YEAST	S000003213	558	7	
RTG1	YOL067C	P32607	RTG1_YEAST	S000005428	177	15	
RTG2	YGL252C	P32608	RTG2_YEAST	S000003221	588	7	
RTG3	YBL103C	P38165	RTG3_YEAST	S000000199	486	2	
RTK1	YDL025C	Q12100	RTK1_YEAST	S000002183	620	4	
RTN1	YDR233C	Q04947	RTN1_YEAST	S000002641	295	4	
RTN2	YDL204W	Q12443	RTN2_YEAST	S000002363	393	4	
RTP1	YMR185W	Q12751	RTP1_YEAST	S000004797	981	13	
RTR1	YER139C	P40084	RTR1_YEAST	S000000941	226	(3)	5
RTR2	YDR066C	Q12378	RTR2_YEAST	S000002473	196	4	
RTS1;SCS1	YOR014W	P38903	2A5D_YEAST	S000005540	757	15	
RTS2	YOR077W	P40962	RTS2_YEAST	S000005603	232	15	
RTS3	YGR161C	P53289	RTS3_YEAST	S000003393	263	7	
RTT101;CUL8	YJL047C	P47050	CUL8_YEAST	S000003583	842	10	
RTT102	YGR275W	P53330	RT102_YEAST	S000003507	157	(3)	7
RTT103	YDR289C	Q05543	RT103_YEAST	S000002697	409	(3)	4
RTT105	YER104W	P40063	RT105_YEAST	S000000906	208	5	
RTT106	YNL206C	P40161	RT106_YEAST	S000005150	455	(3)	14
RTT107;ESC4	YHR154W	P38850	RT107_YEAST	S000001197	1070	(3)	8
RTT109;KIM2;REM50	YLL002W	Q07794	RT109_YEAST	S000003925	436	(3)	12
RTT10;ERE2;TRM734	YPL183C	Q08924	WDR6_YEAST	S000006104	1013	16	
RUB1	YDR139C	Q03919	RUB1_YEAST	S000002546	77	4	
RUD3;GRP1	YOR216C	Q12234	RUD3_YEAST	S000005742	484	15	
RUP1	YOR138C	Q12242	RUP1_YEAST	S000005664	671	15	
RVB1;TIH1;TIP49A	YDR190C	Q03940	RUVB1_YEAST	S000002598	463	4	
RVB2;TIH2;TIP49B	YPL235W	Q12464	RUVB2_YEAST	S000006156	471	16	
RVS161;END6;SPE161	YCR009C	P25343	RV161_YEAST	S000000602	265	3	
RVS167	YDR388W	P39743	RV167_YEAST	S000002796	482	4	
RXT2;RAF60	YBR095C	P38255	RXT2_YEAST	S000000299	430	2	
RXT3	YDL076C	Q07458	RXT3_YEAST	S000002234	294	4	
SAC1;RSD1	YKL212W	P32368	SAC1_YEAST	S000001695	623	(3)	11
SAC3;LEP1	YDR159W	P46674	SAC3_YEAST	S000002566	1301	(3)	4
SAC6	YDR129C	P32599	FIMB_YEAST	S000002536	642	4	
SAC7	YDR389W	P17121	SAC7_YEAST	S000002797	654	4	
SAD1	YFR005C	P43589	SAD1_YEAST	S000001901	448	(3)	6
SAE2;COM1	YGL175C	P46946	COM1_YEAST	S000003143	345	7	
SAE3	YHR079C-A	P89114	SAE3_YEAST	S000001957	91	8	
SAF1	YBR280C	P38352	SAF1_YEAST	S000000484	637	2	
SAG1;AGAL1	YJR004C	P20840	SAG1_YEAST	S000003764	650	10	
SAH1	YER043C	P39954	SAHH_YEAST	S000000845	449	5	
SAK1;PAK1	YER129W	P38990	SAK1_YEAST	S000000931	1142	5	
SAL1	YNL083W	D6W196	CMC1_YEAST	S000005027	494	14	
SAM1;ETH10	YLR180W	P10659	METK1_YEAST	S000004170	382	12	
SAM2;ETH2	YDR502C	P19358	METK2_YEAST	S000002910	384	4	
SAM3	YPL274W	Q08986	SAM3_YEAST	S000006195	587	16	
SAM35;OMP85;TOB38;TOM38	YHR083W	P14693	SAM35_YEAST	S000001125	329	8	
SAM37;MAS37;PET3027;TOM37	YMR060C	P50110	SAM37_YEAST	S000004664	327	13	
SAM4	YPL273W	Q08985	SAM4_YEAST	S000006194	325	16	
SAM50;TOB55	YNL026W	P53969	SAM50_YEAST	S000004971	484	14	
SAN1	YDR143C	P22470	SAN1_YEAST	S000002550	610	4	
SAP1	YER047C	P39955	SAP1_YEAST	S000000849	897	5	
SAP155	YFR040W	P43612	SA155_YEAST	S000001936	1002	6	
SAP185	YJL098W	P40856	SA185_YEAST	S000003634	1058	10	
SAP190	YKR028W	P36123	SA190_YEAST	S000001736	1033	11	
SAP30	YMR263W	P38429	SAP30_YEAST	S000004876	201	13	
SAP4	YGL229C	P53036	SAP4_YEAST	S000003198	818	7	
SAR1	YPL218W	P20606	SAR1_YEAST	S000006139	190	(3)	16
SAS10;UTP3	YDL153C	Q12136	SAS10_YEAST	S000002312	610	4	
SAS2;ESO1	YMR127C	P40963	SAS2_YEAST	S000004734	338	13	
SAS3	YBL052C	P34218	SAS3_YEAST	S000000148	831	2	
SAS4	YDR181C	Q04003	SAS4_YEAST	S000002589	481	4	
SAS5	YOR213C	Q99314	SAS5_YEAST	S000005739	248	15	
SAT4;HAL4	YCR008W	P25333	HAL4_YEAST	S000000601	603	3	
SAW1	YAL027W	P39735	SAW1_YEAST	S000000025	261	1	
SAY1	YGR263C	P53324	SAY1_YEAST	S000003495	424	7	
SBA1	YKL117W	P28707	SBA1_YEAST	S000001600	216	(3)	11
SBE2	YDR351W	P42223	SBE2_YEAST	S000002759	864	4	
SBE22	YHR103W	P38814	SBE22_YEAST	S000001145	852	8	
SBH1;SEB1	YER087C-B	P52870	SC6B1_YEAST	S000002128	82	5	
SBH2;SEB2	YER019C-A	P52871	SC6B2_YEAST	S000002127	88	(3)	5
SBP1;SSB1;SSBR1	YHL034C	P10080	SSBP1_YEAST	S000001026	294	8	
SCC2	YDR180W	Q04002	SCC2_YEAST	S000002588	1493	(3)	4
SCC4	YER147C	P40090	SCC4_YEAST	S000000949	624	(3)	5
SCD5;FTB1	YOR329C	P34758	SCD5_YEAST	S000005856	872	15	
SCD6	YPR129W	P45978	SCD6_YEAST	S000006333	349	16	
SCEI;OMEGA;SECY	Q0160	P03882	SCE1_YEAST	S000007279	235	(3)	M
SCH9;KOM1	YHR205W	P11792	SCH9_YEAST	S000001248	824	8	
SCJ1	YMR214W	P25303	SCJ1_YEAST	S000004827	377	13	
SCL1;PRC2;PRS2	YGL011C	P21243	PSA1_YEAST	S000002979	252	(3)	7
SCM3	YDL139C	Q12334	SCM3_YEAST	S000002298	223	(3)	4
SCM4	YGR049W	P32564	SCM4_YEAST	S000003281	187	7	
SCO1	YBR037C	P23833	SCO1_YEAST	S000000241	295	(3)	2
SCO2	YBR024W	P38072	SCO2_YEAST	S000000228	301	2	
SCP1	YOR367W	Q08873	SCP1_YEAST	S000005894	200	15	
SCP160;HX	YJL080C	P06105	SC160_YEAST	S000003616	1222	10	
SCS2	YER120W	P40075	SCS2_YEAST	S000000922	244	5	
SCS22	YBL091C-A	Q6Q595	SCS22_YEAST	S000007228	175	2	
SCS3;FIT2B	YGL126W	P53012	SCS3_YEAST	S000003094	380	7	
SCS7;FAH1	YMR272C	Q03529	SCS7_YEAST	S000004885	384	(3)	13
SCT1;GAT2;GPT1	YBL011W	P32784	GPT1_YEAST	S000000107	759	2	
SCW10	YMR305C	Q04951	SCW10_YEAST	S000004921	389	13	
SCW11	YGL028C	P53189	SCW11_YEAST	S000002996	542	7	
SCW4	YGR279C	P53334	SCW4_YEAST	S000003511	386	7	
SCY1	YGL083W	P53009	SCY1_YEAST	S000003051	804	7	
SDA1	YGR245C	P53313	SDA1_YEAST	S000003477	767	(3)	7
SDC1;CPS25;SAF19	YDR469W	Q03323	SDC1_YEAST	S000002877	175	4	
SDC25;SCD25	YLL016W	P0CF34	YL016_YEAST	S000003939	1048	12	
SDH1;SDHA	YKL148C	Q00711	SDHA_YEAST	S000001631	640	(3)	11
SDH2;SDH;SDHB	YLL041C	P21801	SDHB_YEAST	S000003964	266	(3)	12
SDH3;CYB3	YKL141W	P33421	SDH3_YEAST	S000001624	198	(3)	11
SDH4;ACN18	YDR178W	P37298	DHSD_YEAST	S000002585	181	(3)	4
SDH5;EMI5	YOL071W	Q08230	SDHF2_YEAST	S000005432	162	(3)	15
SDH6	YDR379C-A	Q3E785	SDHF1_YEAST	S000007605	79	4	
SDH7;ACN9	YDR511W	Q04401	SDHF3_YEAST	S000002919	133	4	
SDH8;FMP21	YBR269C	P38345	SDHF4_YEAST	S000000473	138	2	
SDL1;SDH1	YIL167W	P0CF22	YI167_YEAST	S000001429	210	9	
SDO1	YLR022C	Q07953	SDO1_YEAST	S000004012	250	12	
SDP1	YIL113W	P40479	SDP1_YEAST	S000001375	209	(3)	9
SDS22;EGP1	YKL193C	P36047	SDS22_YEAST	S000001676	338	11	
SDS23	YGL056C	P53172	SDS23_YEAST	S000003024	527	7	
SDS24	YBR214W	P38314	SDS24_YEAST	S000000418	527	2	
SDS3	YIL084C	P40505	SDS3_YEAST	S000001346	327	9	
SDT1;SSM1	YGL224C	P53078	SDT1_YEAST	S000003192	280	(3)	7
SEA4	YBL104C	P38164	SEA4_YEAST	S000000200	1038	2	
SEC1	YDR164C	P30619	SEC1_YEAST	S000002571	724	4	
SEC10	YLR166C	Q06245	SEC10_YEAST	S000004156	871	12	
SEC11	YIR022W	P15367	SEC11_YEAST	S000001461	167	9	
SEC12;SED2	YNR026C	P11655	SEC12_YEAST	S000005309	471	(3)	14
SEC13;ANU3	YLR208W	Q04491	SEC13_YEAST	S000004198	297	(3)	12
SEC14;PIT1	YMR079W	P24280	SEC14_YEAST	S000004684	304	(3)	13
SEC15	YGL233W	P22224	SEC15_YEAST	S000003202	910	7	
SEC16	YPL085W	P48415	SEC16_YEAST	S000006006	2195	(3)	16
SEC17	YBL050W	P32602	SEC17_YEAST	S000000146	292	(3)	2
SEC18	YBR080C	P18759	SEC18_YEAST	S000000284	758	(3)	2
SEC2	YNL272C	P17065	SEC2_YEAST	S000005216	759	(3)	14
SEC20	YDR498C	P28791	SEC20_YEAST	S000002906	383	4	
SEC21	YNL287W	P32074	COPG_YEAST	S000005231	935	14	
SEC22;SLY2;TSL26	YLR268W	P22214	SEC22_YEAST	S000004258	214	12	
SEC23	YPR181C	P15303	SEC23_YEAST	S000006385	768	(3)	16
SEC24;ANU1	YIL109C	P40482	SEC24_YEAST	S000001371	926	(3)	9
SEC26	YDR238C	P41810	COPB_YEAST	S000002646	973	4	
SEC27	YGL137W	P41811	COPB2_YEAST	S000003105	889	(3)	7
SEC28	YIL076W	P40509	COPE_YEAST	S000001338	296	(3)	9
SEC31;WEB1	YDL195W	P38968	SEC31_YEAST	S000002354	1273	(3)	4
SEC39;DSL3	YLR440C	Q12745	SEC39_YEAST	S000004432	709	(3)	12
SEC3;PSL1	YER008C	P33332	SEC3_YEAST	S000000810	1336	(3)	5
SEC4;SRO6	YFL005W	P07560	SEC4_YEAST	S000001889	215	(3)	6
SEC5	YDR166C	P89102	SEC5_YEAST	S000002573	971	4	
SEC53;ALG4	YFL045C	P07283	PMM_YEAST	S000001849	254	6	
SEC59	YMR013C	P20048	SEC59_YEAST	S000004615	519	13	
SEC6	YIL068C	P32844	SEC6_YEAST	S000001330	805	(3)	9
SEC61	YLR378C	P32915	SC61A_YEAST	S000004370	480	12	
SEC62	YPL094C	P21825	SEC62_YEAST	S000006015	274	16	
SEC63;NPL1;PTL1	YOR254C	P14906	SEC63_YEAST	S000005780	663	15	
SEC65	YML105C	P29478	SEC65_YEAST	S000004573	273	13	
SEC66;HSS1;SEC71	YBR171W	P33754	SEC66_YEAST	S000000375	206	2	
SEC7	YDR170C	P11075	SEC7_YEAST	S000002577	2009	(3)	4
SEC72;SEC67;SIM2	YLR292C	P39742	SEC72_YEAST	S000004283	193	12	
SEC8	YPR055W	P32855	SEC8_YEAST	S000006259	1065	16	
SEC9;HSS7	YGR009C	P40357	SEC9_YEAST	S000003241	651	(3)	7
SED1	YDR077W	Q01589	SED1_YEAST	S000002484	338	4	
SED4	YCR067C	P25365	SED4_YEAST	S000000663	1065	3	
SED5	YLR026C	Q01590	SED5_YEAST	S000004016	340	(3)	12
SEF1	YBL066C	P34228	SEF1_YEAST	S000000162	1148	2	
SEG1	YMR086W	Q04279	SEG1_YEAST	S000004692	960	13	
SEG2	YKL105C	P34250	SEG2_YEAST	S000001588	1132	11	
SEH1	YGL100W	P53011	SEH1_YEAST	S000003068	349	(3)	7
SEI1;FLD1	YLR404W	Q06058	SEI1_YEAST	S000004396	285	12	
SEM1;DSH1	YDR363W-A	O94742	SEM1_YEAST	S000007235	89	(3)	4
SEN1	YLR430W	Q00416	SEN1_YEAST	S000004422	2231	12	
SEN15	YMR059W	Q04675	SEN15_YEAST	S000004663	128	13	
SEN2	YLR105C	P16658	SEN2_YEAST	S000004095	377	12	
SEN34	YAR008W	P39707	SEN34_YEAST	S000000066	275	1	
SEN54	YPL083C	Q02825	SEN54_YEAST	S000006004	467	16	
SEO1	YAL067C	P39709	SEO1_YEAST	S000000062	593	1	
SER1;SERC	YOR184W	P33330	SERC_YEAST	S000005710	395	15	
SER2	YGR208W	P42941	SERB_YEAST	S000003440	309	7	
SER3	YER081W	P40054	SERA_YEAST	S000000883	469	5	
SER33	YIL074C	P40510	SER33_YEAST	S000001336	469	9	
SES1;SERS	YDR023W	P07284	SYSC_YEAST	S000002430	462	4	
SET1;KMT2;YTX1	YHR119W	P38827	SET1_YEAST	S000001161	1080	(3)	8
SET2;EZL1;KMT3	YJL168C	P46995	SET2_YEAST	S000003704	733	(3)	10
SET3	YKR029C	P36124	SET3_YEAST	S000001737	751	(3)	11
SET4	YJL105W	P42948	SET4_YEAST	S000003641	560	10	
SET5	YHR207C	P38890	SET5_YEAST	S000001250	526	8	
SET6	YPL165C	Q12529	SET6_YEAST	S000006086	373	16	
SEY1	YOR165W	Q99287	SEY1_YEAST	S000005691	776	15	
SFA1;SFA	YDL168W	P32771	FADH_YEAST	S000002327	386	4	
SFB2;ISS1	YNL049C	P53953	SFB2_YEAST	S000004994	876	14	
SFB3;LST1	YHR098C	P38810	SFB3_YEAST	S000001140	929	8	
SFC1;ACR1	YJR095W	P33303	SFC1_YEAST	S000003856	322	10	
SFG1	YOR315W	Q12507	SFG1_YEAST	S000005842	346	15	
SFH1	YLR321C	Q06168	SFH1_YEAST	S000004313	426	12	
SFH5	YJL145W	P47008	SFH5_YEAST	S000003681	294	10	
SFI1	YLL003W	Q12369	SFI1_YEAST	S000003926	946	(3)	12
SFK1	YKL051W	P35735	SFK1_YEAST	S000001534	353	11	
SFL1	YOR140W	P20134	SFL1_YEAST	S000005666	766	15	
SFM1	YOR021C	Q12314	SFM1_YEAST	S000005547	213	(3)	15
SFP1	YLR403W	P32432	SFP1_YEAST	S000004395	683	12	
SFT1	YKL006C-A	P43682	SFT1_YEAST	S000002101	97	11	
SFT2	YBL102W	P38166	SFT2_YEAST	S000000198	215	2	
SGA1;SGA	YIL099W	P08019	AMYG_YEAST	S000001361	549	9	
SGD1	YLR336C	Q06132	SGD1_YEAST	S000004328	899	12	
SGE1;NOR1	YPR198W	P33335	SGE1_YEAST	S000006402	543	16	
SGF11	YPL047W	Q03067	SGF11_YEAST	S000005968	99	(3)	16
SGF29	YCL010C	P25554	SGF29_YEAST	S000000516	259	(3)	3
SGF73	YGL066W	P53165	SGF73_YEAST	S000003034	657	(3)	7
SGM1	YJR134C	P47166	SGM1_YEAST	S000003895	707	10	
SGN1;RBP29	YIR001C	P40561	SGN1_YEAST	S000001440	250	9	
SGO1	YOR073W	Q08490	SGO1_YEAST	S000005599	590	15	
SGS1;TPS1	YMR190C	P35187	SGS1_YEAST	S000004802	1447	(3)	13
SGT1	YOR057W	Q08446	SGT1_YEAST	S000005583	395	15	
SGT2	YOR007C	Q12118	SGT2_YEAST	S000005533	346	(3)	15
SGV1;BUR1	YPR161C	P23293	BUR1_YEAST	S000006365	657	16	
SHB17	YKR043C	P36136	SHB17_YEAST	S000001751	271	(3)	11
SHC1	YER096W	P39000	SHC1_YEAST	S000000898	512	5	
SHE1	YBL031W	P38200	SHE1_YEAST	S000000127	338	2	
SHE10	YGL228W	P53075	SHE10_YEAST	S000003197	577	7	
SHE2	YKL130C	P36068	SHE2_YEAST	S000001613	246	(3)	11
SHE3	YBR130C	P38272	SHE3_YEAST	S000000334	425	(3)	2
SHE4	YOR035C	P51534	SHE4_YEAST	S000005561	789	(3)	15
SHE9;MDM33	YDR393W	Q04172	SHE9_YEAST	S000002801	456	4	
SHG1;CPS15	YBR258C	P38337	SHG1_YEAST	S000000462	142	2	
SHH3	YMR118C	Q04487	SHH3_YEAST	S000004724	196	13	
SHH4	YLR164W	Q06236	SHH4_YEAST	S000004154	168	12	
SHM1;SHMT1	YBR263W	P37292	GLYM_YEAST	S000000467	490	2	
SHM2;SHMT2	YLR058C	P37291	GLYC_YEAST	S000004048	469	12	
SHO1;SSU81	YER118C	P40073	SHO1_YEAST	S000000920	367	(3)	5
SHP1;UBX1	YBL058W	P34223	UBX1_YEAST	S000000154	423	2	
SHQ1	YIL104C	P40486	SHQ1_YEAST	S000001366	507	(3)	9
SHR3	YDL212W	Q02774	SHR3_YEAST	S000002371	210	4	
SHR5;ERF4	YOL110W	P41912	ERFD_YEAST	S000005470	237	15	
SHS1;SEP7	YDL225W	Q07657	SHS1_YEAST	S000002384	551	4	
SHU1	YHL006C	P38751	SHU1_YEAST	S000000998	150	8	
SHU2	YDR078C	P38957	SHU2_YEAST	S000002485	223	4	
SHY1	YGR112W	P53266	SHY1_YEAST	S000003344	389	7	
SIA1	YOR137C	Q12212	SIA1_YEAST	S000005663	622	15	
SIC1;SDB25	YLR079W	P38634	SIC1_YEAST	S000004069	284	(3)	12
SIF2;EMB1	YBR103W	P38262	SIF2_YEAST	S000000307	535	(3)	2
SIL1;PER100;SLS1	YOL031C	Q08199	SIL1_YEAST	S000005391	421	(3)	15
SIM1;PBP3	YIL123W	P40472	SIM1_YEAST	S000001385	476	9	
SIN3;CPE1;GAM2;RPD1;SDI1;SDS16;UME4	YOL004W	P22579	SIN3_YEAST	S000005364	1536	15	
SIN4;BEL2;GAL22;MED16;RYE1;SDI3;SSF5;SSN4;TSF3	YNL236W	P32259	MED16_YEAST	S000005180	974	14	
SIP1	YDR422C	P32578	SIP1_YEAST	S000002830	815	4	
SIP18	YMR175W	P50263	SIP18_YEAST	S000004787	79	13	
SIP2;SPM2	YGL208W	P34164	SIP2_YEAST	S000003176	415	(3)	7
SIP3;LAM3	YNL257C	P38717	SIP3_YEAST	S000005201	1229	14	
SIP4	YJL089W	P46954	SIP4_YEAST	S000003625	829	10	
SIP5	YMR140W	P40210	SIP5_YEAST	S000004748	489	13	
SIR1	YKR101W	P21691	SIR1_YEAST	S000001809	654	(3)	11
SIR2;MAR1	YDL042C	P06700	SIR2_YEAST	S000002200	562	(3)	4
SIR3;CMT1;MAR2;STE8	YLR442C	P06701	SIR3_YEAST	S000004434	978	(3)	12
SIR4;ASD1;STE9;UTH2	YDR227W	P11978	SIR4_YEAST	S000002635	1358	(3)	4
SIS1	YNL007C	P25294	SIS1_YEAST	S000004952	352	(3)	14
SIS2;HAL3	YKR072C	P36024	SIS2_YEAST	S000001780	562	11	
SIT1;ARN3	YEL065W	P39980	SIT1_YEAST	S000000791	628	5	
SIT4;PPH1	YDL047W	P20604	PP11_YEAST	S000002205	311	4	
SIW14	YNL032W	P53965	SIW14_YEAST	S000004977	281	14	
SIZ1;ULL1	YDR409W	Q04195	SIZ1_YEAST	S000002817	904	(3)	4
SKG1	YKR100C	P36169	SKG1_YEAST	S000001808	355	11	
